"Course Name";"Course provider";Description;"Students enrolled";Ratings
"Web Applications for Everybody";"University of Michigan";"This Specialization is an introduction to building web applications for anybody who already has a basic understanding of responsive web design with JavaScript, HTML, and CSS. Web Applications for Everybody is your introduction to web application development. You will develop web and database applications in PHP, using SQL for database creation, as well as functionality in JavaScript, jQuery, and JSON.

Over the course of this Specialization, you will create several web apps to add to your developer portfolio. This Specialization (and its prerequisites) will prepare you, even if you have little to no experience in programming or technology, for entry level web developer jobs in PHP.

You’ll demonstrate basic concepts, like database design, while working on assignments that require the development of increasing challenging web apps. From installing a text editor to understanding how a web browser interacts with a web server to handling events with JQuery, you’ll gain a complete introductory overview of web application development.";323464;4.7199188447309
"Building Web Applications in PHP";"University of Michigan";"well as the basic syntax and data structures of the <ais-highlight-0000000000>PHP</ais-highlight-0000000000> language, variables, logic, iteration, arrays, error handling, and superglobal";136747;4.7420556107249
"Building Database Applications in PHP";"University of Michigan";"Objects (PDO) library and issue SQL commands in the the <ais-highlight-0000000000>PHP</ais-highlight-0000000000> language. We'll also look at how <ais-highlight-0000000000>PHP</ais-highlight-0000000000> uses";44536;4.8540433925049
"Build a Full Website using WordPress";"Coursera Project Network";"By the end of this project, you will create a full web-site that is attractive and user friendly using";108112;4.4231111111111
"Build Messenger Clone Using PHP and MySQL";"Coursera Project Network";"will learn core elements of HTML,  CSS styling elements, and <ais-highlight-0000000000>PHP</ais-highlight-0000000000> database connectivity.\nWhile you are learning you will get";334;5
"Web Design for Everybody: Basics of Web Development & Coding";"University of Michigan";"This Specialization covers how to write syntactically correct HTML5 and CSS3, and how to create interactive web experiences with JavaScript. Mastering this range of technologies will allow you to develop high quality web sites that, work seamlessly on mobile, tablet, and large screen browsers accessible. During the capstone you will develop a professional-quality web portfolio demonstrating your growth as a web developer and your knowledge of accessible web design. This will include your ability to design and implement a responsive site that utilizes tools to create a site that is accessible to a wide audience, including those with visual, audial, physical, and cognitive impairments.";586098;4.7263356246985
"Django for Everybody";"University of Michigan";"This specialization introduces Python programmers to building websites using the Django library. Across the four courses, you will learn HTML, CSS, SQL, Django, JavaScript, jQuery, and JSON Web Services. During the course, you will build online websites using Django and those working websites are graded throughout the course. This series is excellent preparation for learning other ways to build web applications using technologies like PHP (Web Applications for Everybody), Flask or Ruby on Rails. This is a great first course in any web development curriculum.

Learners are encouraged to take the Python for Everybody Specialization or equivalent before beginning this specialization. Some may find it helpful to take the Web Design for Everybody Specialization before or after this series.";88314;4.6538461538462
"JavaScript, jQuery, and JSON";"University of Michigan";"data between code running on the server (i.e. in <ais-highlight-0000000000>PHP</ais-highlight-0000000000>) and code running in the browser (JavaScript/jQuery).\n";90964;4.6187989556136
"Learn Object-Oriented Programming with PHP";"Coursera Project Network";"Learn Object-Oriented Programming with <ais-highlight-0000000000>PHP</ais-highlight-0000000000>.";597;4.625
"Introduction to Structured Query Language (SQL)";"University of Michigan";"In this course, you'll walk through installation steps for installing a text editor, installing MAMP or XAMPP (or equivalent";164644;4.7545622308796
"Building a Dynamic Web App using PHP & MySQL";"Coursera Project Network";"how to create a simple note-taking web app using <ais-highlight-0000000000>PHP</ais-highlight-0000000000> and MySQL.  <ais-highlight-0000000000>PHP</ais-highlight-0000000000> and MySQL enable developing powerful dynamic";6610;4.3722222222222
"Using MySQL Database with PHP";"Coursera Project Network";"prerequisites. Completing my courses ""Build an Automobile Listing Website with <ais-highlight-0000000000>PHP</ais-highlight-0000000000>"" and ""Learn Object-Oriented Programming with <ais-highlight-0000000000>PHP</ais-highlight-0000000000>"" first is";1390;4.6666666666667
"Introduction to Relational Databases (RDBMS)";"IBM Skills Network";"Are you ready to dive into the world of data engineering? You’ll need a solid understanding of how data";21816;4.6176470588235
"Les bases du langage PHP";"Coursera Project Network";"projet, vous serez capable  d'écrire un code <ais-highlight-0000000000>PHP</ais-highlight-0000000000> , de créer des variables en <ais-highlight-0000000000>PHP</ais-highlight-0000000000> et savoir quelques fonctions <ais-highlight-0000000000>PHP</ais-highlight-0000000000>.";76;3.6666666666667
"Python Data Structures";"University of Michigan";"This course will introduce the core data structures of the Python programming language. We will move past the basics of";909004;4.8605937168074
"Quelques instructions en PHP";"Coursera Project Network";"projet, vous serez capable d'utiliser les intructions conditionnelles, la commutateur, les boucles, les fonctions, et les tableaux en <ais-highlight-0000000000>PHP</ais-highlight-0000000000>.";40;5
"Learn PHP Database Connectivity";"Coursera Project Network";"In this 1.5-hours long project-based course, you will (Learn <ais-highlight-0000000000>PHP</ais-highlight-0000000000> database connectivity , Build Web pages with\n";349;4.5714285714286
"كيفيه انشاء API call باستخدام PHP and MYSQL";"Coursera Project Network";"في نهاية المشروع ده هتقدر تنشئ API Call باستخدام <ais-highlight-0000000000>PHP</ais-highlight-0000000000> and MYSQL . خلال المشروع هتقدر تبني Database و تعمل Tables";11;0
"Object Oriented Development using C#";"Jordan University of Science and Technology";"should have basic experience in any programming language such as C#, Java, Python, Javascript, C++, <ais-highlight-0000000000>PHP</ais-highlight-0000000000>, etc.";1607;3
"Build an Automobile Listing Website with PHP";"Coursera Project Network";"In this 1.5 hours guided project, you will quickly get up to speed with the fundamentals of <ais-highlight-0000000000>PHP</ais-highlight-0000000000> and";264;4.1666666666667
"Build a Facebook Clone with PHP";"Coursera Project Network";"In this 2-hour long project-based course, you will learn how to develop a web application as well as";229;3.7142857142857
"Paramétrer vos requêtes pour protéger contre les attaques d'injection avec PHP";"Coursera Project Network";"les attaques d’injection SQL avec les requêtes paramétrées avec <ais-highlight-0000000000>PHP</ais-highlight-0000000000>.\nA la fin de ce projet, vous serez capable";6;0
"App Engine: Qwik Start - PHP";"Google Cloud";"This is a self-paced lab that takes place in the Google Cloud console.\n\nThis hands-on lab shows";41;0
"Deploy a Wordpress Website in AWS EC2";"Coursera Project Network";"e-learning platforms and others.\n\nSince Wordpress is a <ais-highlight-0000000000>PHP</ais-highlight-0000000000> based technology it could be deployed in many ways";1996;4.7428571428571
"Data Manipulation in JavaScript";"University of California, Davis";"This course builds on the skills from the previous course and goes further into managing and manipulating data with JavaScript";3857;4.8
"Set up your dev environment for LAMP web developers on Linux";"Coursera Project Network";"application with Linux, Apache (or NGINX), MySQL (or MariaDB), and <ais-highlight-0000000000>PHP</ais-highlight-0000000000> is usually referred to as a LAMP stack of";92;4
"Python Dynamic HTML Web Server";"Coursera Project Network";"they ultimately process requests and return web pages. Apache serves <ais-highlight-0000000000>PHP</ais-highlight-0000000000> pages along with static HTML. Microsoft’s .NET creates";6106;4.488188976378
